無罪	4.69	5.36
醫生	4.69	5.36
容許	4.77	5.37
悲哀	4.51	5.21
判決	4.51	5.43
遇上	4.62	5.4
募款	4.77	5.37
心急	4.68	5.32
反正	4.67	5.36
寫意	4.69	5.36
宣判	4.5	5.43
獎項	4.96	5.4
耶誕	4.81	5.38
鬱悶	4.4	5.21
好萊塢	4.69	5.36
地主隊	4.75	5.39
朱	4.69	5.36
期待	4.78	5.32
審理	4.54	5.42
內行	4.69	5.38
首獎	4.69	5.36
裁定	4.52	5.43
搞笑	4.72	5.37
捐款	4.72	5.36
親身	4.71	5.36
身材	4.95	5.21
誠摯	4.67	5.46
內鬥	4.68	5.38
傷害罪	4.39	5.48
去世	4.71	5.35
演繹	4.98	5.39
成分	4.64	5.37
愉快	4.76	5.14
造成	4.63	5.37
比數	4.75	5.39
開除	4.62	5.4
佛心	4.69	5.36
誤解	4.29	5.49
色彩	4.75	5.35
頒發	4.89	5.39
友情	4.8	5.41
精湛	4.77	5.32
骨折	4.56	5.35
吞嚥	4.59	5.29
心疼	4.65	5.19
父母	4.83	5.38
退化	4.65	5.34
戀愛	4.83	5.34
回首	4.72	5.35
反腐	4.75	5.41
下跪	4.45	5.42
樣子	4.79	5.13
乖巧	4.8	5.17
修善	4.69	5.36
歡呼聲	4.6	5.37
懸疑	4.69	5.36
法鼓山	4.69	5.36
人品	4.9	5.24
掌權	4.69	5.36
聲譽	4.65	5.44
音樂	4.69	5.36
審慎	4.83	5.4
天真	4.8	5.16
對戰	4.75	5.39
歌曲	4.91	5.38
傷心欲絕	4.65	5.4
一箭之仇	4.87	5.45
迪士尼	4.69	5.36
欽佩	4.68	5.27
筆法	4.78	5.3
後來居上	4.87	5.44
症狀	4.54	5.29
女友	4.68	5.44
肝臟	4.61	5.33
兒童	4.74	5.37
包紮	4.52	5.32
孤獨	4.69	5.29
手術	4.61	5.33
冬天	4.69	5.36
默默	4.54	5.27
釐清	4.59	5.39
時尚	4.85	5.33
法官	4.58	5.41
獨裁	4.69	5.36
離婚	4.62	5.41
有驚無險	4.79	5.37
食道	4.56	5.32
感慨	4.57	5.39
樸實	4.75	5.23
受害人	4.46	5.45
罰款	4.5	5.41
無方	4.7	5.37
可愛	4.87	5.23
彎腰	4.67	5.32
一審	4.5	5.43
蠕動	4.55	5.32
不禁	4.53	5.31
力道	4.68	5.39
千萬	4.69	5.36
失手	4.48	5.37
感嘆	4.78	5.35
祈禱	4.71	5.36
財產權	4.69	5.36
祈福	4.74	5.37
閃亮	4.9	5.3
準決賽	4.69	5.36
行竊	4.3	5.44
熱量	4.66	5.35
伸直	4.73	5.33
示威	4.69	5.38
腸道	4.61	5.31
口號	4.71	5.36
碰到	4.43	5.41
激昂	4.67	5.25
外孫	4.69	5.36
景氣	4.63	5.34
簡化	4.73	5.34
進攻	4.65	5.43
勁敵	4.64	5.31
法師	4.69	5.36
旗袍	4.69	5.36
言語	4.56	5.31
撤換	4.68	5.4
紅腫	4.53	5.33
當庭	4.42	5.47
編劇	4.69	5.36
爸爸	4.87	5.36
動容	4.6	5.37
潸然淚下	4.5	5.41
真的	4.6	5.27
圍廠	4.74	5.42
病情	4.53	5.27
右手	4.66	5.41
生離死別	4.53	5.3
玩笑	4.54	5.32
行頭	4.69	5.36
好像	4.34	5.19
表演	4.69	5.36
女孩子	4.82	5.15
齣	4.69	5.36
一分	4.75	5.39
聽得	4.3	5.37
聽從	4.62	5.32
爭議	4.6	5.4
花錢	4.66	5.34
幻聽	4.57	5.33
表情	4.6	5.09
左轉	4.69	5.36
飯	4.69	5.36
感	4.57	5.22
勤儉	4.69	5.36
過量	4.57	5.34
求婚	4.81	5.39
空襲	4.65	5.43
上吊	4.69	5.34
靈敏	4.74	5.22
自信心	4.8	5.28
腫瘤	4.6	5.33
極權	4.69	5.38
前妻	4.66	5.38
口吻	4.88	5.18
災民	4.74	5.37
扳回	4.86	5.43
喝令	4.44	5.33
送醫	4.64	5.31
刀傷	4.61	5.39
任由	4.54	5.31
神態	4.84	5.23
入眠	4.57	5.19
受難	4.69	5.36
老婆	4.67	5.37
乳酪	4.63	5.38
故意	4.32	5.42
抗告	4.51	5.45
武裝	4.65	5.43
制伏	4.46	5.44
