不可思議,5.4,7.2
不平,3.6,5.8
不甘,3.2,6.4
不安,3.8,5.4
不利,3.6,5.6
不足,4.2,4.2
不定,4.2,3.8
不宜,3.8,4.4
不幸,2.6,6
不拘小節,6.4,4.2
不服,3.4,6.6
不知所措,3.2,6.2
不便,4,4.4
不耐,4,4.4
不耐煩,3.6,6
不准,3.6,6.2
不屑,3,6
不悅,3.2,6
不爽,2.8,7.2
不祥,2.8,5.2
不符,3.8,4
不順,3.6,4.6
不當,3.4,5.6
不解,4.2,4.2
不滿,3.2,6.4
不適,3.6,4.6
正,6.6,5
多餘,4,4
好,6.8,5.2
否定,3.4,5.4
否認,3.6,5.2
足夠,5.8,4
肯定,6.8,6
哇,6,6.6
哎呀,4.8,6.8
恰好,6.4,5
耶,7.2,7.2
單獨,4.4,3.6
無力,3.2,3.6
無足輕重,4.4,4
無情,2.6,5.8
無理,2.6,6.8
無暇,3.6,5.6
無趣,3.4,5.2
無禮,2.8,7
想,5.2,3.6
過分,2.8,6.8
對,6.4,4.8
認真,7,5
嘻,6.6,5.8
嘻嘻,7,6.2
隨便,4.2,5.2
隨意,5.6,4.2
豐富,6.8,5.6
願意,6.8,5
小心,4.6,6
分享,6.8,4.6
支持,7.2,5
支撐,5.6,5.6
付出,5.8,5.6
失去,3.2,6.4
失敗,2.2,7.2
打,3.2,6.6
同意,6.4,4.4
成功,8.2,6.6
死,1.2,5
吸引,6,6.2
希望,7,5.2
忘記,4,4.6
協助,6.6,4.6
抱,5.8,5.2
玩,5.6,5.8
信任,7.8,5.8
相信,7.2,5.4
討厭,2.6,6.6
貢獻,7.4,5.6
逃避,3,6
喜愛,7.2,6.2
喜歡,7,5.8
喪失,2.6,5.8
期望,6,5.2
答應,5.8,5
幹,1,8.8
愛,8.2,5.4
愛好,7,5.6
感謝,7.4,5.6
損失,3.2,5.2
經歷,5,4.8
遇到,5,4.2
遊戲,5.8,4.8
鼓勵,7,6.2
適合,5.6,3.8
擔心,3.4,6.6
輸,3,4.4
錯過,3.6,4.4
幫忙,6.4,5
幫助,6.6,5.6
應付,4.2,5.4
謝謝,6.6,5.8
懷念,6,5.6
關心,6.4,6
關懷,6.8,6.4
贏,7.2,7
贏得,7.4,7
下流,2.2,7.6
王八蛋,1.4,8.6
他媽的,1.4,8.4
白目,2.2,7.2
白癡,2.2,7.4
呸,2.4,7.4
垃圾,2.2,7.4
怪胎,2.4,7
放屁,2.6,7
狗屁,2.4,7.6
淫婦,1.8,7.8
混蛋,2,8
笨蛋,3,5.6
媽的,2.2,7.6
愚蠢,2.8,6
該死,2.6,7.6
賤,2.2,7.2
賤人,2,7.8
賤貨,1.8,8.2
操,2,8
蕩婦,1.8,7.8
蹩腳,3.6,5.2
壞蛋,3,6.4
爛貨,2.2,6.8
白痴,2.4,6.4
八卦,3.4,4.6
仇人,2.2,7.2
仇恨,2.2,7.8
仇敵,2,7.6
分擔,5.6,4.4
友,6.4,4.2
反駁,3.8,6.4
打岔,3.8,4.2
打架,2.6,7.6
打斷,4,4.6
交往,6.4,5.2
同情,5.4,4.2
安心,5.6,2.4
伴侶,7,4.6
忌妒,3,6.8
批評,3.2,7.6
抗議,3.2,7.8
取笑,3.6,6.2
坦白,6,5.6
奉承,3.6,5.6
奉獻,6.8,6
抱怨,2.8,6.6
拒絕,3,6.6
放心,6.2,3.2
朋友,6.8,4.2
爭吵,3.4,6.6
爭論,3.8,6.6
知己,7.2,4.8
侮辱,2.4,7.6
信服,6.4,5.4
信賴,7.2,5.4
冒犯,3.2,7
怨恨,2,7.8
指責,3.4,6.8
原諒,5.8,4.2
辱罵,2.4,7
鬥爭,3,7.4
情人,6.8,6.6
甜心,6.8,6
責備,3.4,6.4
逗弄,5.4,5.4
插嘴,3.6,5.6
款待,6.2,5.4
詛咒,2.2,7.4
開玩笑,6.2,5.2
閒話,4,4.4
愛人,7.2,6.8
愛戀,7.6,6.8
隔離,3.4,5
嘉獎,6.8,5.8
稱讚,6.8,6
說服,5,4.2
說長道短,3.2,5
駁斥,2.8,7.2
嘲弄,2.6,6.2
嘲笑,2.6,6.6
嘲罵,2.6,7.4
嘲諷,2.6,7.4
寬恕,6.2,4.6
慶典,6.6,5.6
慶祝,7,6.4
憐憫,5.8,5
摯友,7.4,5.2
敵人,3,6
樂意,6.8,5.4
熱愛,7.2,7
調情,5.4,6.8
諂媚,3.4,5.6
親切,7,5
親愛,7.4,6
親愛的,7.2,6.4
幫手,6.4,4.8
戲弄,3.4,6.2
鍾愛,7,6.6
歸咎,3.2,5.6
離婚,2.4,5.8
懷疑,3.8,4.4
譏,3.2,6
寶貝,7.4,6.4
饒恕,5.6,5
譴責,3,7.2
歡迎,7.2,6.4
歡送,6,6.2
歡聚,7.2,6.2
戀人,7,5.8
戀愛,7.6,6.4
讚美,7,5.6
讚揚,7.6,6.6
讚譽,7.6,6.8
ㄏㄏ,5.8,4.6
一無所有,2.4,4.4
七竅生煙,2.2,7.8
